Location Name,Title,Text,Rating,Year,Month,Day
28,"Great location, outdated facilities.","The location and views of Barcelona are absolutely stunning. Staff were helpful and friendly. However the facilities are in desperate need of renovation, broken shower in the room, scolding hot showers in the spa, cockroaches… many other items that were outdated across the building. We enjoyed the location but will not come back until it has been renovated",3,2024,08,30
28,Wonderful experience--Wonderful Memories,"We arrived early in the morning--way before our check in time. We had intended to store our luggage and go out exploring, but we were told we could check in right away. We were offered glasses of the local cava wine and made comfortable while they prepared our room and took our luggage up. We booked a terrace room with a view and it was spectacular! The views are amazing! We were able to eat a quick brunch before catching a cab to to into the city of Barcelona.
All the staff was extremely friendly and helpful! Rose' assisted us at checkin and with several other things. She is very personal and friendly. She was able to secure us another ride and refund after our scheduled ride did not arrive. She talked about things to see and do in the city and we enjoyed her company. Pedro, Dani, and Mariano were also helpful to us in getting us change and taking care of little things we needed.

We ordered room service and it was SPECTACULAR! It was such a treat for us. A large variety of food and large portions. We also ate at the Poolside Restaurant. It was wonderful with a great view of the city and bay of Barcelona.",5,2024,06,27
28,Lovely luxurious hotel with wonderful views and an amazing team to ensure your stay is memorable.,"This is a lovely hotel set in the hills above Barcelona. We had an amazing corner suite which gave us wonderful views of Barcelona and the sea.

The furnishings are beautiful and high quality. Apparently next year is their centenary and they  are planning a big refurb but hopefully more maintenance rather than changing too much. 

The staff are superb - the moment you walk in, you are made to feel welcome and ‘special’. They are incredibly helpful and go out of their way to make your stay memorable.

It feels a very luxurious hotel - we were celebrating our wedding anniversary and it was perfect. 

We will definitely be returning next year.",5,2024,03,29
28,A must stay @ Gran Hotel LA Florida,"Amazing hotel, the building stands out at the top of the mountain and can be seen standing above Barcelona!  Our suite was lovely with beautiful views of the city from every window! At night the city lit up was stunning.  Huge comfortable bed, plenty of towels and toiletries provided.  Staff amazing, helpful and friendly, Ferran gave us lots of information about the city and where to go!  Lovely spa, swimming pool, jacuzzi, gym eqtsnd sauna with everything provided.  And finally the restaurant, had the most delicious meal, food beautifully presented and tasted devine, with impeccable service. Only thing you need to be aware of is that you need to get a taxi to and from Barcelona city, on average €30 a time  but using the FREENOW app was useful and take the price not the metered method and that can be a lot more!  But the hotel stay is more than worth the taxi rides!",5,2024,02,22
28,Amazing Hotel ,"An amazing hotel with great staff! We enjoyed our stay very much. The view on Barcelona is stunning and the rooms very well equiped. We hope to be back soon. A special thanks to the GM Isaac and the team. The food is delicious and the spa and pool area marvelous. Once again, thanks for a great stay!",5,2023,10,24
28,Luxury overlooking Barcelona,"Prepare to be impressed. They will greet you at the door and  whisk you into the lobby.  The hotel sprawls out, slowly unveiling water features, lounges and the indoor outdoor pool. The most impressive is the views of the city and water from the terrace and rooms. The Spa is luxurious and the massage will dissolve the worst jet leg and make you feel amazing.  Book here for a stay or come for dinner or a drink to watch the sunset. City lights at night are spectacular too.",5,2023,09,28
28,Mixed bag of good and bad,"Stayed for 2 nights. The Mountain View room was not as described which we sorted so that was good. The views from the hotel are amazing as are the staff in the restaurants and on reception. We also loved the very cold pool. 
The good ends there! 
This is a 5 star hotel which feels like it’s about to close. The main restaurant was shut leaving very few real dining options and it is somewhat isolated. The terrace bar and restaurant offer mediocre food… much of which was cooked from frozen shop bought. Room service menu is very limited too. 
The rooms are a little tired and our shower was very old and in need of new fittings. 
Hotel publicises an airport shuttle- there isn’t one. Also publicises coffee machine. First room didn’t have one , second one did but the 2 pods on arrival are not replaced unless you pay 3 euros per pod. 
Simply not at all 5 star",3,2023,09,17
28,STAY HERE!!!!,One of the greatest hotel experiences of my life. From check in to check out this hotel obviously prides itself on taking care of the patrons. They made me feel like a VIP at every turn. The room was beautiful and comfortable. The food was excellent. Service was impeccable. I cannot say enough about this hotel and the service team. We were able to hike around our hotel and enjoy the stunning view. The city center was a 20 minute cab ride away but I will 100% return to this hotel when we come back to Barcelona!,5,2023,09,06
28,Quite an average experience,"We had a good stay and enjoyed the hotel. The mediocre rating is because while the 1 night stay was good, it could have been so much better with just a little more effort.

The main issue was that the service was not very professional. It was surely friendly and all of the employees were nice but it felt that they were just working there and didn’t get proper hospitality training. Except in the restaurant at dinner, there the staff were very professional.

The room was nice and spacious. We loved the view over the city and the sea. We stayed there in January and the heating was on at +26C. It was absolutely hot in the room. It was regulated by the hotel so we couldn’t turn it off and asked the staff to help. 

The bar area in the garden was nice and the cocktails were very good but the service was extremely slow. 

Half of the spa/indoor pool area was closed without any prior notice (the spa was one of the reasons we went there). The steam room was closed so only the sauna was on. The pool was large but absolutely freezing so all the guests were crammed together in the hot jacuzzi. Aside from that, half of the showers were broken and/or clogged and the whole area needs proper maintenance and a good scrub. 

The service at the restaurant both at dinner as well as breakfast were very professional. Also the food was good, especially the breakfast. The dinner was served in a smaller area and really lacked atmosphere. 

All in all, we weren’t disappointed but it didn’t live up to expectations either. The service needs an update to better reflect international hospitality standards and the fact that the spa was partially closed should have been communicated.",3,2023,06,26
28,Amazing place with really warm service,"We spent five days in Adorra hiking. We wanted to enjoy the last two days in a nice hotel. This was a really wonderful place. Great service,  warm staff, lovely swimming pool, tasty food and wonderful scenery. we had an absolutely amazing room with two balconies, an absolutely amazing bed and a spacious bathroom. We have nothing bad to say about this hotel. All pictures of the hotel on the website are true.",5,2023,06,16
28,Speechless,"It has to be one of the best and finest hotels I have ever stayed in. Impeccable service, amazing views, fine dining and so much more. From the amazing terrace, the wonderful spa, the products from L’Occitane (my personal favorite) to the refined details. This hotel is an oasis just outside Barcelona. Close enough to enjoy the city yet far enough away to discover true peace and tranquillity. Highly recommended.",5,2023,06,06
28,Gran Basura Hotel La Florida,"The worst customer service
at Gran Hotel La Florida. Today, Friday, we got a call with a last minute cancellation of my husband’s surprise birthday celebration next Thursday (less than a week) that included spa treatments and luncheon because a private event “popped up” in their calendar and in order to honor our reservation we would have to additionally book a room or they would cancel. Really? We live down the street. Why didn’t they communicate this “private event” when I made reservations weeks ago??  Not an effort to accommodate and nothing more that “sorry for the inconvenience”.  What arrogance!  Never again we will set foot at this establishment.",1,2023,04,21
28,Boutique hotel with stunning views ,"Beautiful boutique hotel with stunning rooftop views.
Staff were so friendly and accommodating and also child friendly. 

Breakfast in hotel was varied with patries, cereals, fruit, traditional spanish warm breakfast and request for eggs etc.

The hotel is quite out of the central tourist area and is about a 20-25 minute drive away, longer during peak traffic times. Average cost 30-40 euro each way in taxi.

Also the indoor pool is NOT HEATED- some reviews incorrectly state that it is. There is a small jacuzzi / hot tub indoors which is heated but no actual heated swimming pool. 
",4,2023,04,09
