Location Name,Title,Text,Rating,Year,Month,Day
130,Arrogant manager at the breakfast room,"After many years of visiting the Dorchester for breakfast, we were refused entry by the manager at the dining room, 
She was as arrogant as someone can be, and turned us back, we ended up going to claridges who not only been super accommodating and professional, but also served us with better service and certainly better food.",1,2024,10,19
130,Fabulous stay,"We recently had a wonderful two night stay at this beautiful hotel to celebrate our 80th and 90th birthdays, and were looked after to a legendary degree by all the staff.  We had a lovely surprise when we entered our room to find balloons. a bowl of fruit, a fantastic birthday cake and a bottle of champagne waiting for us.  We had drinks in the exquisite Artists Bar and dinner in the Promenade, plus breakfast and all the Managers and staff were very welcoming, professional and extremely friendly.  Reception staff were superb and nothing was too much trouble for them.  It really was a very special visit for us and we would like to thank everyone involved.  Next year we will be celebrating our Golden Wedding and  hope to be able to celebrate that with you too.",5,2024,10,02
130,Always Enjoyable,"Not sure what isn’t to like about The Dorchester. Incredible service throughout our stay from very thoughtful staff.
It’s been a while since our last stay, so the renovations were interesting to see, which as you would expect are well thought out.
The best part about our stay this time was the visit to The Grill by Tom Booton. Reluctantly tried it  as we couldn’t get into The Promenade. So glad we did as this was magnificent with outstanding fare and service. One little gripe, we failed to get into The Promenade as it was “fully booked” but then tried again in the evening as we used to enjoy sitting at the bar there, but again it was fully booked. On both occasions when we left both the Grill and the other bar later on The Promenade looked far from busy and so it appeared to me we could have been made welcome on both occasions. A little disappointing as we have enjoyed being in that area several times before.
Apart from that the service was as you’d expect, perfect in every other setting and you are made to feel welcome from the moment you arrive to the moment you leave. We will be back, but please check on The promenade Mr Manager as they always used to seat us without a reservation yet it was hardly busy on Saturday when we tried and so it was disappointing we couldn’t sample what we have done on many occasions before.",5,2024,09,30
130,Exquisite,"This was a 60th birthday treat from my husband. Would have loved to be more dressed up, but weather and walking didnt allow! Oozes money - treated as good as any guest, but definitely an upper echelon.  How to see how the other half live! Enjoyed being pampered, staff all very welcoming and felt welcomed",5,2024,09,29
130,The Dorchester,"The Dorchester is quintessentially British hospitality at its best. There is simply nothing finer. Steeped in traditional old world charm along with its prime location looking in on Hyde Park makes this an ideal choice when visiting the capital. An experience in the spa is an absolute must. Expertly trained staff, superb products and the latest technology make this spa journey truly memorable. The sound vibration beds are simply extraordinary. My thanks to Sally Pedder and her team for restoring my inner peace.",5,2024,09,24
130,Anniversary made special ,"We have stayed here several times in recent years.it was just one night this time as we were at a matinee at the Palladium the staff made everything very special 
We were amazed to be upgraded from a junior suite to a vast Prestige Suite which is a wonderful room and so large with every facility you could want and a butler service
In the room was a bottle of champagne  cake and a loverly flower arrangement to recognise our special occasion
Breakfast was lovely as always with a vast choice available  all in all we had a lovely stay
Thanks to all involved with making our stay exceptional ",5,2024,09,14
130,Excellent can’t wait to go back,Excellent service from the whole team especially Sunali. Excellent Canepes and champagne in awesome surroundings. If was our 22nd wedding anniversary and it’s always a pleasure to come to this iconic hotel that makes an occasion extra special.,5,2024,09,12
130,Perfect hospitality,"This hotel cannot be reviewed in a few words! Everything from the check in to the flowers in the public spaces to the staff to the rooms.....excellence on every level! We were blown away by the way we were spoiled as we were celebrating a milestone birthday. The way that we were pampered and wished over and over again made it a 3 day celebration that felt like one amongst friends. 
The breakfast service is superb, the food and Green Juice as well as the Sunrise juice that was recommended are beyond description. There are so many small touches and gestures that make the Dorcester a place to return to again and again! Thank you teach and every staff member that made another stay at the Dorcester memorable and perfect!",5,2024,09,06
130,Super,"**5-Star Review for The Dorchester Hotel**

The Dorchester is much more than just a hotel: it’s an icon of luxury hospitality. The name itself is synonymous with excellence, and my recent experience only reinforced this. From the moment you step inside, you're greeted by an elegant and refined atmosphere, where every detail is meticulously cared for.

The service is impeccable, with a staff that is attentive, courteous, and always ready to meet every need, making you feel pampered and important. Every request is met with speed and kindness, and nothing is left to chance.

The location, in the heart of London, is simply perfect: overlooking Hyde Park, The Dorchester offers a stunning view and an ideal position for those who want to explore the city while remaining in an oasis of tranquility and luxury.

The rooms are a true dream: tastefully decorated, spacious, and equipped with every comfort. The feeling of well-being is unmatched, and the attention to detail, from fine materials to the most advanced technology, makes every stay unforgettable.

The Dorchester is not just a hotel; it’s an experience of pure perfection. Highly recommended for those seeking the best in service, elegance, and comfort. A name, a guarantee.",5,2024,09,05
130,Afternoon tea my favourite place,"The Dorchester afternoon tea is the epitome of elegance. It is a luxury experience that all can enjoy. The staff skilfully put you at ease. It is a window in time which transports you to another world. No one leaves hungry. If your pleasure is sandwiches, scones or cakes … top ups offered and boxed up to take home if so desired, Of all the afternoon teas available; this is my fav because the food service and ambience all match equally with an apparent effortlessness.",5,2024,08,29
